CatchmentAreaRainfall,CrossFlow,DeadStorageLevel,EffectiveCapacity,FullWaterLevel,InflowVolume,Outflow,OutflowDischarge,OutflowTotal,RecordTime,RegulatoryDischarge,ReservoirIdentifier,ReservoirName
"0.1","112.84","175","20266.1","245","28.68","61.86","0","174.7","2021-04-21T00:00:00","0","10201","石門水庫"
"2.5","15.552","64.73","43.69","72.08","15.552","0","0","15.552","2021-04-21T00:00:00","15.552","10203","西勢水庫"
"1.5","0","45","1002","86","0.18","0.67","0","0.67","2021-04-21T00:00:00","0","10204","新山水庫"
"15.6","","110","33550.5","170","59","","","219.2","2021-04-21T00:00:00","","10205","翡翠水庫"
"0.1","32.52","","","","32.66","","0","32.52","2021-04-21T00:00:00","0","10206","榮華壩"
"","","47.2","439","51.5","58.8","","","","2021-04-21T00:00:00","","10207","鳶山堰"
"","","56","","59","4.1","","","","2021-04-21T00:00:00","","10210","三峽攔河堰"
"0","72.4","17","74.2","22.6","72.4","53.9","","53.9","2021-04-21T07:00:00","","10211","青潭堰"
"0","46.91","41","191.89","44.7","262.38","215.47","","262.38","2021-04-21T00:00:00","46.91","10212","直潭壩"
"0","","122","503.5","141.6","0","5.5","","5.5","2021-04-21T00:00:00","","10401","寶山水庫"
"0","0.38","","","44","10","","","10","2021-04-21T00:00:00","","10404","隆恩堰"
"0","","110","3147.18","150","8.13","15.47","","15.47","2021-04-21T00:00:00","","10405","寶山第二水庫"
"0","","50","2998.94","85","2.9","6","","6","2021-04-21T00:00:00","","10501","永和山水庫"
"0","","60.4","529.9","69.6","2.826","","","8.136","2021-04-21T00:00:00","","10503","大埔水庫"
"0","","42.5","1222.0466","61","0.9192","","","2.4696","2021-04-21T00:00:00","","10601","明德水庫"
"3.5","","","","5.5","","","","","2021-04-21T00:00:00","","10802","羅東攔河堰"
"0","2.59","257.52","11446.01","300","28.94","38.87","","41.46","2021-04-21T00:00:00","","20101","鯉魚潭水庫"
"0","0","1310","18642","1408","31.895","","","0","2021-04-21T00:00:00","","20201","德基水庫"
"0","0.9","","149.31","274.5","59.3","59","","59.8","2021-04-21T00:00:00","0.9","20202","石岡壩"
"0","5.18","593","70.4","604.5","","26.8","","31.98","2021-04-21T00:00:00","","20405","士林堰"
"0","","978","3745.83","1005","21.35","","","63.36","2021-04-21T00:00:00","","20501","霧社水庫"
"0","99.27","727.27","12790.99","748.48","88.91","","","99.27","2021-04-21T00:00:00","","20502","日月潭水庫"
"0.7","","210.96","631.91","214.75","207.19","","","25.57","2021-04-21T00:00:00","","20503","集集攔河堰"
"0","","345","1110","373","24.74","","","","2021-04-21T00:00:00","","20508","明湖下池"
"0","0.78","165","5086.512","211.5","3.63","15.51","","16.29","2021-04-21T00:00:00","","20509","湖山水庫"
"0","1.12","89","2527.46","105","0.08","6.69","","7.81","2021-04-21T00:00:00","","30301","仁義潭水庫"
"0","","57.3","923.29","75.38","1.12","5.11","","5.11","2021-04-21T00:00:00","","30302","蘭潭水庫"
"0","0","50","68.0659","60","0","0.2492","","0.2492","2021-04-21T07:00:00","0","30306","內埔子"
"0","0","104.58","1173.45","109","0.4101","0","","0","2021-04-21T08:00:00","0","30401","白河水庫"
"0","0","11.2","178.8487","14.2","0","0","","0","2021-04-21T07:00:00","0","30403","德元埤"
"0","0","34.88","7876.5","58.18","461.4","71.4","","71.4","2021-04-21T07:00:00","0","30501","烏山頭水庫"
"0.8","485","171","50956","230","4","","0","485","2021-04-21T00:00:00","0","30502","曾文水庫"
"0","5.6","131","9097.9","180","0.1","52.1","0","57.7","2021-04-21T00:00:00","0","30503","南化水庫"
"0","0.05","130","98.3","143","0","0.11","0","0.16","2021-04-21T00:00:00","0","30504","鏡面水庫"
"0","0","30.7","107.2531","37","0","0.9574","","0.9574","2021-04-21T08:00:00","0","30601","虎頭埤"
"0","0","27.5","50.8142","31","0","0","","0","2021-04-21T08:00:00","0","30602","鹽水埤"
"0","32.9","15","262.95","17.8","33.8","33.8","","32.9","2021-04-21T00:00:00","","30801","澄清湖水庫"
"0","","27","1525.893","37","0","3.52","","3.52","2021-04-21T00:00:00","","30802","阿公店水庫"
"0","0","29.56","716","50","31.64","34.5","","34.5","2021-04-21T00:00:00","","30803","鳳山水庫"
"0.02","","","","","32.83","37.6","","32.8","2021-04-21T00:00:00","","30901","高屏溪攔河堰"
"9.5","7.5168","","","","7.5168","0","","7.5168","2021-04-21T00:00:00","","31002","甲仙攔河堰"
"0","2.109","100.2","2651.317","142","1.003","8","","10.109","2021-04-21T00:00:00","","31201","牡丹水庫"
"0","0","2","104","9","0","0","0","0","2021-04-22T00:00:00","0","31301","成功水庫"
"0","0","3","63.7","11","0","0.242","0","0.242","2021-04-22T00:00:00","0","50102","興仁水庫"
"0","0","0.5","18.5","6.5","0","0","0","0","2021-04-22T00:00:00","0","50103","東衛水庫"
"0","0","0","25.45","3","0","0.081","0","0.081","2021-04-22T00:00:00","0","50104","赤崁水庫"
"0","0","4","24","12.5","0","0.015","0","0.015","2021-04-22T00:00:00","0","50105","西安水庫"
"0","0","16","22.84","24","0","0","0","0","2021-04-22T00:00:00","0","50106","七美水庫"
"0","0","3","20.57","13.4","0","0","0","0","2021-04-22T00:00:00","0","50108","小池水庫"
"0","0","2","3.54","8","0","0","0","0","2021-04-22T00:00:00","0","50109","烏溝蓄水塘"
"0","","13.7","118.7","18.35","0","0.44","","0.44","2021-04-21T00:00:00","","50201","太湖水庫"
"0","","3.5","45.5","6.3","0","0","","0","2021-04-21T00:00:00","","50202","田埔水庫"
"0","","28.3","21.5","31.93","0","0","","0","2021-04-21T00:00:00","","50203","陽明湖水庫"
"0","","13.8","13.9","18.17","0","0","","0","2021-04-21T00:00:00","","50204","山西蓄水塘"
"0","","1.3","28.6","3.65","0","0","","0","2021-04-21T00:00:00","","50205","榮湖水庫"
"0","","24.7","16.7","30.59","0","0","","0","2021-04-21T00:00:00","","50206","擎天水庫"
"0","","1.1","34.6","3.7","0","0.21","","0.21","2021-04-21T00:00:00","","50207","金沙水庫"
"0","","5.3","3.9","8.22","0","0","","0","2021-04-21T00:00:00","","50208","蓮湖水庫"
"0","","9.6","6.2","12.54","0","0","","0","2021-04-21T00:00:00","","50209","菱湖水庫"
"0","","1.1","30.6","3.08","0","0.14","","0.14","2021-04-21T00:00:00","","50210","西湖水庫"
"0","","-0.4","29.6","2.69","0","0","","0","2021-04-21T00:00:00","","50212","金湖水庫"
"0","","12.9","23.1","15.79","0","0","","0","2021-04-21T00:00:00","","50213","瓊林水庫"
"0","","11.8","22.3","17.58","0","0","","0","2021-04-21T00:00:00","","50214","蘭湖"
"0","","1","18.1842","16","0","0","","0","2021-04-21T00:00:00","","50301","勝利水庫"
"0","","2.1","3.1539","12.5","0","0","","0","2021-04-21T00:00:00","","50302","邱桂山水庫"
"0","","2.5","0.3845","3.9","0","0","","0","2021-04-21T00:00:00","","50303","珠螺水壩"
"0","","2.2","2.32","9.1","0","0","","0","2021-04-21T00:00:00","","50304","儲水沃上壩"
"0","","1.6","4.1792","19.2","0","0","","0","2021-04-21T00:00:00","","50305","儲水沃水庫"
"0","","2.5","4.5806","19","0","0","","0","2021-04-21T00:00:00","","50306","津沙水庫"
"0","","2.5","1.2625","12.1","0","0","","0","2021-04-21T00:00:00","","50307","津沙1號壩"
"0","","7","14.1115","18.62","0","0.0525","","0.0525","2021-04-21T00:00:00","","50308","坂里水庫"
"0","","7","8.5047","18.8","0","0.008","","0.008","2021-04-21T00:00:00","","50309","東湧水庫"
"0","","2","41.6251","16","0","0.0688","","0.0688","2021-04-21T00:00:00","","50310","后沃水庫"
